caseId,description,landmark
2007-071,"A landmark case in which the Supreme Court of the United States held that the Second Amendment protects an individual&apos;s right to possess a firearm, unconnected with service in a militia, for traditionally lawful purposes, such as self-defense within the home, and that Washington, D.C.&apos;s handgun ban and requirement that lawfully-owned rifles and shotguns be kept &quot;unloaded and disassembled or bound by a trigger lock&quot; violated this guarantee. It also stated that the right to bear arms is not unlimited and that guns and gun ownership would continue to be regulated. Due to Washington, D.C.&apos;s special status as a federal district, the decision did not address the question of whether the Second Amendment&apos;s protections are incorporated by the Due Process Clause of the Fourteenth Amendment against the states, which was addressed two years later by McDonald v. City of Chicago (2010) in which it was found that they are. It was the first Supreme Court case to decide whether the Second Amendment protects an individual right to keep and bear arms for self-defense.",L
1995-085,"A landmark case in which the Supreme Court of the United States struck down the long-standing male-only admission policy of the Virginia Military Institute (VMI) in a 7_1 decision. (Justice Clarence Thomas, whose son was enrolled at VMI at the time, recused himself.)",L
2002-083,"A landmark civil rights case by the United States Supreme Court. The Court struck down the sodomy law in Texas in a 6_3 decision and, by extension, invalidated sodomy laws in 13 other states, making same-sex sexual activity legal in every U.S. state and territory. The Court, with a five-justice majority, overturned its previous ruling on the same issue in the 1986 case Bowers v. Hardwick, where it upheld a challenged Georgia statute and did not find a constitutional protection of sexual privacy.",L
2007-068,A landmark decision by the Supreme Court of the United States that held that the Eighth Amendment&apos;s Cruel and Unusual Punishments Clause prohibits imposing the death penalty for the rape of a child in cases where the victim did not die and death was not intended.,L
2004-024,"A landmark decision in which the Supreme Court of the United States held that it is unconstitutional to impose capital punishment for crimes committed while under the age of 18. The 5-4 decision overruled Stanford v. Kentucky, in which the court had upheld execution of offenders at or above age 16, and overturned statutes in 25 states.",L
1972-048,"A landmark decision issued in 1973 by the United States Supreme Court on the issue of the constitutionality of laws that criminalized or restricted access to abortions. The Court ruled 7_2 that a right to privacy under the Due Process Clause of the 14th Amendment extended to a woman&apos;s decision to have an abortion, but that this right must be balanced against the state&apos;s interests in regulating abortions: protecting women&apos;s health and protecting the potentiality of human life. Arguing that these state interests became stronger over the course of a pregnancy, the Court resolved this balancing test by tying state regulation of abortion to the third trimester of pregnancy.",L
1994-083,"A landmark decision of the Supreme Court of the United States regarding free speech rights, specifically the rights of groups to determine what message their activities convey to the public. The Court ruled that private organizations, even if they were planning on and had permits for a public demonstration, were permitted to exclude groups if those groups presented a message contrary to the one the organizing group wanted to convey. Addressing the specific issues of the case, the Court found that private citizens organizing a public demonstration may not be compelled by the state to include groups who impart a message the organizers do not want to be presented by their demonstration, even if the intent of the state was to prevent discrimination.",L
2009-091,"A landmark decision of the Supreme Court of the United States that found that the right of an individual to &quot;keep and bear arms,&quot; as protected under the Second Amendment, is incorporated by the Due Process Clause of the Fourteenth Amendment against the states. The decision cleared up the uncertainty left in the wake of District of Columbia v. Heller as to the scope of gun rights in regard to the states.",L
1971-128,A landmark decision of the United States Supreme Court that determined a U.S. state violated due process by involuntarily committing a criminal defendant for an indefinite period of time solely on the basis of his permanent incompetency to stand trial on the charges filed against him.,L
1964-111,"A landmark First Amendment Supreme Court case, in which the ruling of the Supreme Court struck down _ 305(a) of the Postal Service and Federal Employees Salary Act of 1962, a federal statute requiring the Postmaster General to detain and deliver only upon the addressee&apos;s request unsealed foreign mailings of &quot;communist political propaganda.&quot; Under the stricken code, a recipient of material deemed &quot;political propaganda&quot; was required to indicate their intent to receive such materials before they were delivered and accept the material by indicating a desire to do so on a card provided by the Post Office.The card stated that except with the addressee&apos;s name and consent to receiving the material, it would be returned within 20 days, the Post Office assuming that the addressee does not want that publication or any similar one in the future.",L
2009-012,"A landmark U.S. constitutional law, campaign finance, and corporate law case dealing with regulation of political campaign spending by organizations. The United States Supreme Court held (5_4) on January 21, 2010, that the free speech clause of the First Amendment to the Constitution prohibits the government from restricting independent expenditures for communications by nonprofit corporations, for-profit corporations, labor unions, and other associations.",L
1968-124,"A landmark United States Supreme Court case based on the First Amendment to the U.S. Constitution. The Court held that government cannot punish inflammatory speech unless that speech is &quot;directed to inciting or producing imminent lawless action and is likely to incite or produce such action.&quot;:702 Specifically, the Court struck down Ohio&apos;s criminal syndicalism statute, because that statute broadly prohibited the mere advocacy of violence. In the process, Whitney v. California (1927) was explicitly overruled, and doubt was cast on Schenck v. United States (1919), Abrams v. United States (1919), Gitlow v. New York (1925), and Dennis v. United States (1951)",L
1964-077,"A landmark United States Supreme Court case brought forth by Dr. James Dombrowski along with William Kunstler, founder of the Center for Constitutional Rights, against the governor of Louisiana, law enforcement officers, and the chairperson of the state&apos;s Legislative Joint Committee on Un-American Activities for prosecuting or threatening to prosecute his organization under several state subversion statutes.",L
1995-053,"A landmark United States Supreme Court case dealing with sexual orientation and state laws. It was the first Supreme Court case to address gay rights since Bowers v. Hardwick (1986), when the Court had held that laws criminalizing sodomy were constitutional.",L
1991-117,"A landmark United States Supreme Court case in which the constitutionality of several Pennsylvania state statutory provisions regarding abortion were challenged. The Court&apos;s plurality opinion reaffirmed the central holding of Roe v. Wade stating that &quot;matters, involving the most intimate and personal choices a person may make in a lifetime, choices central to personal dignity and autonomy, are central to the liberty protected by the Fourteenth Amendment.&quot;",L
1971-087,"A landmark United States Supreme Court case in which the Court held that the fathers of children born out of wedlock had a fundamental right to their children. Until the ruling, when the mother of a child born out of wedlock was unable to care for the child, through death or other circumstances, the child was made a ward of the state and either placed in an orphanage or foster care or given up for adoption.",L
1963-165,"A landmark United States Supreme Court case on the right to travel and passport restrictions as they relate to Fifth Amendment due process rights and First Amendment free speech, freedom of assembly and freedom of association rights. It is the first case in which the US Supreme Court considered the constitutionality of personal restrictions on the right to travel abroad. In Aptheker, the petitioner challenged Section 6 of the Subversive Activities Control Act of 1950, which made it a crime for any member of a Communist organization to attempt to use or obtain a passport.",L
1963-067,"A landmark United States Supreme Court case that established the actual malice standard, which has to be met before press reports about public officials can be considered to be libel; and hence allowed free reporting of the civil rights campaigns in the southern United States. It is one of the key decisions supporting the freedom of the press. The actual malice standard requires that the plaintiff in a defamation case, if that person is a public official or public figure, prove that the publisher of the statement in question knew that the statement was false or acted in reckless disregard of its truth or falsity. Because of the extremely high burden of proof on the plaintiff, and the difficulty of proving the defendant&apos;s knowledge and intentions, such claims by public figures rarely prevail.",L
1972-113,A landmark United States Supreme Court case which decided that benefits given by the United States military to the family of service members cannot be given out differently because of sex.,L
1999-082,"A landmark United States Supreme Court decision with regard to aggravating factors in crimes. The Court ruled that the Sixth Amendment right to a jury trial, incorporated against the states through the Fourteenth Amendment, prohibited judges from enhancing criminal sentences beyond statutory maxima based on facts other than those decided by the jury beyond a reasonable doubt. The decision has been a cornerstone in the modern resurgence in jury trial rights. As Justice Scalia noted in his concurring opinion, the jury-trial right &quot;has never been efficient; but it has always been free.&quot;",L
1997-095,"A legal case in which the Supreme Court of the United States ruled that the line-item veto as granted in the Line Item Veto Act of 1996 violated the Presentment Clause of the United States Constitution because it impermissibly gave the President of the United States the power to unilaterally amend or repeal parts of statutes that had been duly passed by the United States Congress. The decision of the Court, in a six-to-three majority, was delivered by Justice John Paul Stevens.",L
1964-031,"A major decision of the Supreme Court of the United States. It stated in clear terms that, pursuant to the Fourteenth Amendment, the Fourth Amendment rules regarding search and seizure applied to state governments. While this principle had been outlined in other cases, such as Mapp v. Ohio, this case added another level of constitutional consideration for the issuance of search warrants when articles of expression, protected by the First Amendment, are among the items to be taken. In effect, when a state issues a warrant that includes the order to seize books, it must accord the &quot;most scrupulous exactitude&quot; to the language of the Fourth Amendment.",
1966-108,"A major United States Supreme Court case in which the Court ruled that citizens of the United States may not be deprived of their citizenship involuntarily. The U.S. government had attempted to revoke the citizenship of Beys Afroyim, a man born in Poland, because he had cast a vote in an Israeli election after becoming a naturalized U.S. citizen. The Supreme Court decided that Afroyim&apos;s right to retain his citizenship was guaranteed by the Citizenship Clause of the Fourteenth Amendment to the Constitution. In so doing, the Court struck down a federal law mandating loss of U.S. citizenship for voting in a foreign election thereby overruling one of its own precedents, Perez v. Brownell (1958), in which it had upheld loss of citizenship under similar circumstances less than a decade earlier.",L
2002-078,A narrowly tailored use of race in student admission decisions may be permissible under the Equal Protection Clause because a diverse student body is beneficial to all students. This was hinted at in Regents v. Bakke (1978).,L
1963-164,A person in police custody has the right to speak to an attorney.,L
1946-049,"A state law that reimburses the costs of transportation to and from parochial schools does not violate the Establishment Clause of the First Amendment. The Establishment Clause is incorporated against the states, and the Constitution requires a sharp separation between government and religion.",L
1982-157,A state legislature&apos;s practice of opening its sessions with a prayer offered by a state-supported chaplain does not violate the Establishment Clause.,L
1991-011,"A Supreme Court case dealing with Son of Sam laws, which are state laws that prevent convicted criminals from publishing books about their crime for profit. Simon & Schuster challenged the law&apos;s application to profits from Nicholas Pileggi&apos;s book Wiseguy: Life in a Mafia Family, which was written with paid assistance from former mobster Henry Hill. The court struck down the Son of Sam law in New York on the ground that the law was violative of the First Amendment, which protects free speech. Nevertheless, similar laws in other states remain unchallenged. The opinion of the court was written by Sandra Day O&apos;Connor. In the wake of this case, New York modified its law to apply to any economic benefits derived from criminal activities, not just proceeds from publications.",
1981-069,"A Supreme Court case involving the burden of proof for the revocation of parental rights. The case arose when the Ulster County, New York Department of Social Services sought to revoke John Santosky II and Annie Santosky&apos;s parental rights to their three children. Under Section 622 of the New York State Family Court Act, the state was permitted to revoke parental rights to a natural child if, after a fair preponderance of the evidence, a court found &quot;permanent neglect.&quot; The New York State Family Court found such neglect by using the &quot;fair perponderance&quot; standard. The Appellate Division of the New York Supreme Court upheld the constitutionality of the burden of proof used.",
1970-014,A Supreme Court case which held that the United States Congress could set voting age requirements for federal elections but not for local or state elections. The case also upheld Congress&apos;s nationwide prohibition on literacy tests and similar &quot;tests or devices&quot; used as voting qualifications as defined in the Voting Rights Act of 1965.,L
1968-081,"A Supreme Court decision that helped to establish a fundamental &quot;right to travel&quot; in U.S. law. Although the Constitution does not mention the right to travel, it is implied by the other rights given in the Constitution. (Although the right was recognized under the Equal Protection clause in this case, pre-Fourteenth Amendment, the right to travel was understood as protected by the Privileges and Immunities Clause (Article IV), as a privilege of citizenship, and therefore might have been applied to the states under the Privileges or Immunities Clause of Amendment XIV, as J. Stewart wanted.) The ruling in the case invalidated state durational residency requirements for public assistance.",L
1962-060,"A Supreme Court of the United States case dealing with equal representation in regard to the American election system and formulated the famous &quot;one person, one vote&quot; standard for legislative districting.",
1962-049,A Supreme Court of the United States case in which the Court amended United States nationality law with respect to draft evasion.,
1996-010,"A Supreme Court of the United States case regarding a controversy over the Fourteenth Amendment. The petitioner, M.L.B., argued that the Mississippi Chancery Courts could not terminate her parental rights on the basis that she was unable to pay the court fees. M.L.B. had been sued by S.L.J. to terminate M.L.B.&apos;s parental rights and gain the ability to adopt the children. The judge declared in favor of S.L.J. under the premise that the decree was fair, as it was based on the fulfilling of the burden of proof by the father and his second wife with &quot;clear and convincing evidence.&quot;",
2013-042,A town council&apos;s practice of opening its sessions with a sectarian prayer does not violate the Establishment Clause.,L
1977-073,A U.S. constitutional law case which defined the free speech right of corporations for the first time. The United States Supreme Court held that corporations have a First Amendment right to make contributions to ballot initiative campaigns. The ruling came in response to a Massachusetts law that prohibited corporate donations in ballot initiatives unless the corporation&apos;s interests were directly involved.,
1975-033,"A U.S. constitutional law Supreme Court case on campaign finance. A majority of judges held that limits on election spending in the Federal Election Campaign Act of 1971 _608 are unconstitutional. In a per curiam (by the Court) opinion, they ruled that expenditure limits contravene the First Amendment provision on freedom of speech because a restriction on spending for political communication necessarily reduces the quantity of expression. It limited disclosure provisions and limited the Federal Election Commission&apos;s power. Justice Byron White dissented in part and wrote that Congress had legitimately recognized unlimited election spending &quot;as a mortal danger against which effective preventive and curative steps must be taken&quot;.",L
1957-144,"A U.S. Supreme Court case addressing the State of California&apos;s refusal to grant to ACLU lawyer Lawrence Speiser, a veteran of World War II, a tax exemption because that person refused to sign a loyalty oath as required by a California law enacted in 1954. The court reversed a lower court ruling that the loyalty oath provision did not violate the appellants&apos; First Amendment rights.",
1968-098,"A U.S. Supreme Court case dealing with the constitutionality of the Marihuana Tax Act of 1937. Timothy Leary, a professor and activist, was arrested for the possession of marijuana in violation of the Marihuana Tax Act. Leary challenged the act on the ground that the act required self-incrimination, which violated the Fifth Amendment. The unanimous opinion of the court was penned by Justice John Marshall Harlan II and declared the Marihuana Tax Act unconstitutional. Thus, Leary&apos;s conviction was overturned. Congress responded shortly thereafter by replacing the Marihuana Tax Act with the newly written Controlled Substances Act while continuing the prohibition of certain drugs in the United States.",
1997-091,"A U.S. Supreme Court case holding that asset forfeiture is unconstitutional when it is &quot;grossly disproportional to the gravity of the defendantês offense&quot;, citing the Excessive Fines clause of the Eighth Amendment. It was the first time the Court struck down the federal government&apos;s &quot;aggressive use of forfeiture&quot; and the only time it has held that an imposed fine was unconstitutional under the Eighth Amendment.",
1991-069,A U.S. Supreme Court case in which the court addressed the criteria for the continued commitment of an individual who had been found not guilty by reason of insanity. The individual remained involuntarily confined on the justification that he was potentially dangerous even though he no longer suffered from the mental illness that served as a basis for his original commitment.,
1984-158,"A U.S. Supreme Court case involving discrimination against the intellectually disabled. In 1980, Cleburne Living Center, Inc. (CLC) submitted a permit application seeking approval to build a group home for the intellectually disabled. The city of Cleburne, Texas refused to grant CLC a permit on the basis of a municipal zoning ordinance. CLC then sued the City of Cleburne on the theory that the denial of the permit violated the Fourteenth Amendment Equal Protection rights of CLC and their potential residents. Applying rational basis review, the U.S. Supreme Court struck down the ordinance as applied to CLC. The Court declined to rule that the intellectually disabled were a quasi-suspect or suspect class.",
1963-047,"A U.S. Supreme Court case involving U.S. Congressional districts in the state of Georgia. The Court issued its ruling on February 17, 1964. This decision requires each state to draw its U.S. Congressional districts so that they are approximately equal in population. Nationally, this decision effectively reduced the representation of rural districts in the U.S. Congress. Particularly, the Court held that the population differences among Georgia&apos;s congressional districts were so great as to violate the Constitution.",L
1981-052,"A U.S. Supreme Court case that affirmed distinction between the Commerce Clause and Bankruptcy Clause of the Enumerated powers, and held that legislation passed by Congress regarding bankruptcy must respect the uniformity requirement by not targeting a specific company.",
1959-013,"A U.S. Supreme Court case upholding the freedom of the press. The decision deemed unconstitutional a city ordinance that made one in possession of obscene books criminally liable because it did not require proof that one had knowledge of the bookês content, and thus violated the freedom of the press guaranteed in the First Amendment. Smith v. California continued the Supreme Court precedent of ruling that questions of freedom of expression were protected by the Due Process clause of the Fourteenth Amendment from invasion by state action. It also established that in order for one to be criminally liable for possession of obscene material, there must be proof of oneês knowledge of the material.",
1967-147,A U.S. Supreme Court case where the court ruled that a state statute providing the state unlimited challenge for cause of jurors who might have any objection to the death penalty gave too much bias in favor of the prosecution.,
2001-038,"A U.S. Supreme Court case which struck down two overbroad provisions of the Child Pornography Prevention Act of 1996 because they abridged &quot;the freedom to engage in a substantial amount of lawful speech&quot;. The case was brought against the Government by the Free Speech Coalition, a &quot;California trade association for the adult-entertainment industry&quot;; along with Bold Type, Inc., a &quot;publisher of a book advocating the nudist lifestyle&quot;; Jim Gingerich, who paints nudes; and Ron Raffaelli, a photographer who specialized in erotic images. By striking down these two provisions, the Court rejected an invitation to increase the amount of speech that would be categorically outside the protection of the First Amendment.",
1977-029,"A U.S. Supreme Court decision that held that Wisconsin Statutes __ 245.10 (1), (4), (5) (1973) violated the Fourteenth Amendment Equal Protection Clause. Section 245.10 required noncustodial parents who were Wisconsin residents attempting to marry inside or outside of Wisconsin to seek a court order prior to receiving a marriage license. In order to receive such a court order, the noncustodial parent could not be in arrears on his or her child support, and the court had to believe that the child(ren) would not become dependent on the State.",
1999-079,"A unanimous case in which the Supreme Court of the United States used the federal preemption doctrine to strike down the Massachusetts Burma Law, a law that effectively prohibited Massachusetts&apos; governmental agencies from buying goods and services from companies conducting business with Myanmar (Burma), essentially a secondary boycott. The Massachusetts Burma Law was modeled after similar legislation that had targeted the apartheid regime of South Africa.",
1976-166,"A United States corporate law case in which the Supreme Court of the United States established that a defendant&apos;s ownership of stock in a corporation incorporated within a state, without more, is insufficient to allow that state courts to exercise jurisdiction over the defendant. The case set forth a framework for evaluating when a defendant will be deemed to have minimum contacts with the forum state sufficient for the exercise of jurisdiction to be consistent with due process under the Fourteenth Amendment.",
1989-133,A United States Supreme Court abortion rights case that dealt with whether a state law may require notification of both parents before a minor can obtain an abortion. The law in question provided a judicial alternative.,
1978-024,"A United States Supreme Court abortion rights case, which held void for vagueness part of Pennsylvania&apos;s 1974 Abortion Control Act.",
2000-022,"A United States Supreme Court case about Congress&apos;s enforcement powers under the Fourteenth Amendment to the United States Constitution. The Supreme Court decided that Title I of the Americans with Disabilities Act was unconstitutional, insofar as it allowed states to be sued by private citizens for money damages.",
1973-033,A United States Supreme Court case based on the First Amendment to the U.S. Constitution that invalidated Indiana&apos;s loyalty oath requirement.,
1964-034,A United States Supreme Court case based on the First Amendment to the U.S. Constitution. It held that a state government cannot employ &quot;breach of the peace&quot; statutes against protesters engaging in peaceable demonstrations that may potentially incite violence.,
1994-092,"A United States Supreme Court case concerning &quot;affirmative gerrymandering/racial gerrymandering&quot;, where racial minority-majority electoral districts are created during redistricting to increase minority Congressional representation.",
1995-068,"A United States Supreme Court case concerning racial gerrymandering, where racial minority majority-electoral districts were created during Texas&apos; 1990 redistricting to increase minority Congressional representation. The Supreme Court, in a plurality opinion, held that race was the predominant factor in the creation of the districts and that under a strict scrutiny standard the three districts were not narrowly tailored to further a compelling governmental interest.",
1982-074,A United States Supreme Court case concerning the constitutionality of laws that allow police to demand that &quot;loiterers&quot; and &quot;wanderers&quot; provide identification.,
1986-130,"A United States Supreme Court case concerning the constitutionality of teaching creationism. The Court considered a Louisiana law requiring that where evolutionary science was taught in public schools, creation science must also be taught. The Court ruled that this law violated the Establishment Clause of the First Amendment because the law was specifically intended to advance a particular religion. It also held that &quot;teaching a variety of scientific theories about the origins of humankind to school children might be validly done with the clear secular intent of enhancing the effectiveness of science instruction.&quot;",L
1979-067,"A United States Supreme Court case concerning warrantless entry into a private home in order to make a felony arrest. The Court struck down a New York statute providing for such warrantless entries because the Fourth Amendment draws a firm line at the entrance to the house. Absent exigent circumstances, that threshold may not be reasonably crossed without a warrant. The court, however, did specify that an arrest warrant (as opposed to a search warrant) would have sufficed for entry into the suspect&apos;s residence if there had been reason to believe that the suspect was within the home. Payton and related case law establish that the principle that a person in a home, particularly his or her own, is entitled Fourth Amendment protections not afforded to persons in automobiles, as per Whren v. United States, or to persons in public, as per United States v. Watson.",
2000-053,"A United States Supreme Court case decided in 2001. The case concerned an alleged violation of the Compensation Clause of the United States Constitution when Congress extended Medicare and Social Security taxes to federal judge salaries. Additionally, the case dealt with whether a later increase of federal judge salaries, greater than the new taxes, remedied the potential violation.",
1984-115,A United States Supreme Court case deciding on the issue of silent school prayer.,
1984-157,A United States Supreme Court case holding that New York City&apos;s program that sent public school teachers into parochial schools to provide remedial education to disadvantaged children pursuant to Title I of the Elementary and Secondary Education Act of 1965 necessitated an excessive entanglement of church and state and violated the Establishment Clause of the First Amendment to the United States Constitution.,
1987-099,"A United States Supreme Court case in which a unanimous Court found that the &quot;especially heinous, atrocious or cruel&quot; standard for the application of the death penalty as defined by the Eighth Amendment was too vague. As such, Oklahoma&apos;s law was overturned based on Furman v. Georgia (1972).",
1980-149,A United States Supreme Court case in which it was decided that cities could regulate billboards and that municipal governments could not treat commercial outdoor advertising more harshly than noncommercial messages.,
1962-148,"A United States Supreme Court case in which the Court decided 8_1 in favor of the respondent, Edward Schempp, and declared school-sponsored Bible reading in public schools in the United States to be unconstitutional. The Chief Justice of the Supreme Court during this case was Earl Warren.",L
1966-120,"A United States Supreme Court case in which the Court decided that the Compulsory Process Clause of the Sixth Amendment to the Constitution (guaranteeing the right of a criminal defendant to force the attendance of witnesses for their side) is applicable in state courts as well as federal courts. Jackie Washington had attempted to call his co-defendant as a witness, but was blocked by Texas courts because state law prevented co-defendants from testifying for each other, under the theory that they would be likely to lie for each other on the stand.",
1970-134,"A United States Supreme Court case in which the Court determined that state restrictions on welfare benefits for legal aliens but not for citizens violated the Equal Protection Clause of the Fourteenth Amendment. The Court invalidated an Arizona law that required citizenship or 15 years of residence to receive welfare benefits. The 9-0 decision was written by Harry A. Blackmun. The state argued that rational basis review should apply, which would require the non-citizen to prove that the law served no conceivable legitimate state interest, or alternatively that the law was not rationally related to the government&apos;s purpose. However, the court applied the strict scrutiny standard, holding, &quot;Aliens as a class are a prime example of a &apos;discrete and insular&apos; minority for whom such heightened judicial solicitude is appropriate.",
1980-058,"A United States Supreme Court case in which the Court held a Louisiana Head and Master law, which gave sole control of marital property to the husband, unconstitutional.",
2010-079,"A United States Supreme Court case in which the Court held that a bankruptcy court, as a non-Article III court (i.e. courts without full judicial independence) lacked constitutional authority under Article III of the United States Constitution to enter a final judgment on a state law counterclaim that is not resolved in the process of ruling on a creditor&apos;s proof of claim, even though Congress purported to grant such statutory authority under 28 U.S.C. _ 157(b)2(C). The case drew an unusual amount of interest because the petitioner was the estate of former Playboy Playmate and celebrity Anna Nicole Smith (whose legal name was Vickie Lynn Marshall). Smith had died long before the Court ultimately decided the case, which her estate lost.",
1995-049,"A United States Supreme Court case in which the Court held that a complete ban on the advertising of alcohol prices was unconstitutional under the First Amendment, and that the Twenty-first Amendment, empowering the states to regulate alcohol, did not operate to lessen other constitutional restraints of state power.",
1979-129,"A United States Supreme Court case in which the Court held that a jury must be allowed to consider lesser included offenses, not just capital offense or acquittal.",
1998-069,A United States Supreme Court case in which the Court held that a law cannot be so vague that a person of ordinary intelligence can not figure out what is innocent activity and what is illegal.,
1978-075,A United States Supreme Court case in which the Court held that a New Mexico tax on the generation of electricity was invalid under the Supremacy Clause of the United States Constitution. Snead was the director of the New Mexico Taxation and Revenue Department.,
2008-058,A United States Supreme Court case in which the Court held that a New York law preventing state trial courts from hearing claims for money damages against prison employees whether based on federal or state law violated the Supremacy Clause of the United States Constitution.,
1968-080,"A United States Supreme Court case in which the Court held that a New York state law making it a crime &quot;publicly [to] mutilate, deface, defile, or defy, trample upon, or cast contempt upon either by words or act [any flag of the United States]&quot; was, in part, unconstitutional because it prohibited speech against the flag. The Court left for a later day the question of whether it is constitutional or unconstitutional to prohibit, without reference to the utterance of words, the burning of the flag (see Texas v. Johnson and United States v. Eichman).",
1996-017,"A United States Supreme Court case in which the Court held that a provision which escheats property to tribe upon owner&apos;s death any fractional interest in allotment which constitutes less than two percent of the allotment and has not produced $100 in income over the past five years, unless it is devised or descends to owner of another fractional interest in the allotment, works an unconstitutional taking.",
1963-129,"A United States Supreme Court case in which the Court held that a state cannot require an employee to take an unduly vague oath containing a promise of future conduct at the risk of prosecution for perjury or loss of employment, particularly where the exercise of First Amendment freedoms may thereby be deterred.",
1990-096,"A United States Supreme Court case in which the Court held that a state statute authorizing prejudgment attachment of a defendant&apos;s real property upon the filing of an action, without prior notice or hearing, without a showing of extraordinary circumstances, and without a requirement that the plaintiff post a bond, violates the Due Process Clause of the Fourteenth Amendment.",
1984-140,A United States Supreme Court case in which the Court held that a state statute providing employees with an absolute right not to work on their chosen Sabbath violates the Establishment Clause of the First Amendment.,
2001-063,"A United States Supreme Court case in which the Court held that a town ordinance&apos;s provisions making it a misdemeanor to engage in door-to-door advocacy without first registering with town officials and receiving a permit violates the First Amendment as it applies to religious proselytizing, anonymous political speech, and the distribution of handbills.",
2010-077,"A United States Supreme Court case in which the Court held that a Vermont statute that restricted the sale, disclosure, and use of records that revealed the prescribing practices of individual doctors violated the First Amendment.",
1993-082,A United States Supreme Court case in which the Court held that an amendment to the Oregon state constitution disallowing judicial review of the size of punitive damages was a violation of due process.,
1981-167,A United States Supreme Court case in which the Court held that an at-large election system for a large rural county with a large black population violated the Equal Protection Clause.,
2000-027,A United States Supreme Court case in which the Court held that an attempt by the state of Missouri to influence Congressional elections in favor of candidates who supported term limits was unconstitutional,
1994-045,"A United States Supreme Court case in which the Court held that an Ohio statute that prohibits anonymous political or campaign literature is unconstitutional. Writing for the Court, Justice Stevens asserted that such action is protected by the First Amendment, and therefore violated the constitutional principle of freedom of speech. Justice Scalia dissented, in an opinion which Chief Justice Rehnquist joined. Justice Ginsburg wrote a concurrence, while Justice Thomas wrote an opinion concurring in the judgment.",
1981-148,A United States Supreme Court case in which the Court held that Article III jurisdiction could not be conferred on non-Article III courts (i.e. courts without the independence and protection given to Article III judges).,
1996-095,A United States Supreme Court case in which the Court held that certain interim provisions of the Brady Handgun Violence Prevention Act violated the Tenth Amendment to the United States Constitution.,L
1973-075,A United States Supreme Court case in which the Court held that flag desecration laws that prohibit &quot;contemptuous&quot; treatment of the flag are overly broad.,
2006-069,A United States Supreme Court case in which the Court held that issue ads may not be banned from the months preceding a primary or general election.,
1976-126,"A United States Supreme Court case in which the Court held that it was unconstitutional to prohibit anyone other than a licensed pharmacist to distribute nonprescription contraceptives to persons 16 years of age or over, to prohibit the distribution of nonprescription contraceptives by any adult to minors under 16 years of age, and to prohibit anyone, including licensed pharmacists, to advertise or display contraceptives. The Court held that the Due Process Clause of the Fourteenth Amendment to the United States Constitution does not allow a state to intrude on an individualês decisions on matters of procreation which is protected as privacy rights.",L
1982-060,A United States Supreme Court case in which the Court held that Ohio&apos;s filing deadline for independent candidates was unconstitutional.,
1994-024,A United States Supreme Court case in which the Court held that Section 501(b) of the Ethics in Government Act of 1978 violates the First Amendment of the United States Constitution.,
1977-153,"A United States Supreme Court case in which the Court held that sentencing authorities must have the discretion to consider at least some mitigating factors, rather than being limited to a specific list of factors.",
1984-102,A United States Supreme Court case in which the Court held that states can require an advertiser to disclose certain information without violating the advertiser&apos;s First Amendment free speech protections as long as the disclosure requirements are reasonably related to the State&apos;s interest in preventing deception of consumers. The decision effected identified that some commercial speech may have weaker First Amendment free speech protections than non-commercial speech and that states can compel such commercial speech to protect their interests; future cases have relied on the &quot;Zauderer standard&quot; to determine the constitutionality of state laws that compel commercial speech as long as the information to be disclosed is &quot;purely factual and uncontroversial&quot;.,
1966-044,A United States Supreme Court case in which the Court held that states cannot prohibit employees from being members of the Communist Party and that this law was overbroad and too vague.,
1997-096,"A United States Supreme Court case in which the Court held that the Coal Industry Retiree Health Benefit Act (Coal Act) constituted an unconstitutional regulatory taking of property which required the Act to be invalidated. The import of this decision is that it was made in the context of a purely economic regulation. The plurality examines the statute and its resultant harm as an ad hoc factual inquiry based on factors delineated in Penn Central Transportation Co. v. New York City, such as the economic impact of the regulation, its interference with reasonable investment backed expectations, and the character of the governmental action. The decision thereby moved beyond the traditional notions of equal protection which had been applied to economic regulation since the time of Lochner v. New York, requiring extreme deference to Congress, and applied a regulatory takings analysis to the problem resulting in a much less deferential result. While the plurality recognizes that this is not a traditional takings case where the government appropriates private property for public use, they also state this is the type of case where the &quot;Armstrong Principle&quot; of preventing the government from forcing some people alone to bear public burdens which, in all fairness and justice, should be borne by the public as a whole. However, while the plurality seems to invalidate this particular law on takings grounds, the concurrences and the dissents warn of such an analysis as this should actually be examined under substantive due process or ex post facto theories.",
1958-093,A United States Supreme Court case in which the Court held that the Illinois law requiring trucks to have unique mudguards was unconstitutional under the Commerce clause.,
1984-081,A United States Supreme Court case in which the Court invalidated the criminal disenfranchisement provision of _ 182 of the Alabama Constitution as a violation of the Equal Protection Clause of the Fourteenth Amendment.,
1960-129,"A United States Supreme Court case in which the court reaffirmed that the United States Constitution prohibits States and the Federal Government from requiring any kind of religious test for public office, in the specific case, as a notary public.",
1995-044,"A United States Supreme Court case in which the Court reversed an Oklahoma court decision holding that a defendant is presumed to be competent to stand trial unless he proves otherwise by the second highest legal standard of proof, that of clear and convincing evidence, ruling that to be unconstitutional. The court said the defendant&apos;s Fourteenth Amendment rights to due process were violated.",
